"Name","R_Ein","q","P.A.","mag_src"

SL2SJ020833-071414, 2.66, 0.76, 59.2 , 24.88
SL2SJ021206-075528, 1.24, 0.77, -12.7, 24.72
SL2SJ021247-055552, 1.27, 0.82, -34.3, 25.11
SL2SJ021325-074355, 2.39, 0.54, 17.8 , 23.68
SL2SJ021411-040502, 1.41, 0.59, -84.0, 24.61
SL2SJ021737-051329, 1.27, 0.85, -75.1, 24.06
SL2SJ021801-080247, 1.00, 0.81, 39.9 , 24.79
SL2SJ021902-082934, 1.30, 0.80, -82.4, 26.31
SL2SJ022046-094927, 1.00, 0.96, -38.0, 24.15
SL2SJ022056-063934, 1.19, 0.61, -79.8, 24.57
SL2SJ022346-053418, 1.22, 0.39, 70.5 , 24.35
SL2SJ022357-065142, 1.36, 0.79, 66.7 , 24.73
SL2SJ022511-045433, 1.76, 0.58, 24.6 , 23.61
SL2SJ022610-042011, 1.19, 0.79, -10.1, 25.26
SL2SJ022648-040610, 1.29, 0.79, -64.3, 25.93
SL2SJ022648-090421, 1.56, 0.87, 73.6 , 26.16
SL2SJ023251-040823, 1.04, 0.94, 76.8 , 24.36
SL2SJ084847-035103, 0.85, 0.77, 80.5 , 23.83
SL2SJ084909-041226, 1.10, 0.73, 40.5 , 24.16
SL2SJ084934-043352, 1.23, 0.63, 36.4 , 23.87
SL2SJ084959-025142, 1.16, 0.72, -62.7, 25.85
SL2SJ085019-034710, 0.93, 0.44, 2.2  , 25.59
SL2SJ085327-023745, 1.31, 0.72, -0.4 , 23.07
SL2SJ085540-014730, 1.03, 0.96, -64.4, 25.32
SL2SJ085559-040917, 1.36, 0.31, 39.4 , 24.14
SL2SJ085826-014300, 0.90, 0.91, 65.0 , 26.36
SL2SJ090106-025906, 1.03, 0.45, -19.2, 25.68
SL2SJ090407-005952, 1.40, 0.64, 71.8 , 24.32
SL2SJ095921+020638, 0.74, 0.95, -72.0, 26.79
SL2SJ135847+545913, 1.21, 0.76, -71.1, 24.30
SL2SJ135949+553550, 1.14, 0.60, 55.7 , 25.53
SL2SJ140123+555705, 1.74, 0.49, -43.8, 26.63
SL2SJ140156+554446, 2.03, 0.58, 32.1 , 24.41
SL2SJ140221+550534, 1.23, 0.75, -48.2, 25.41
SL2SJ140454+520024, 2.55, 0.55, 70.9 , 24.79
SL2SJ140533+550231, 1.05, 0.55, 1.7  , 24.15
SL2SJ140546+524311, 1.51, 0.45, -53.3, 26.44
SL2SJ140614+520253, 4.36, 0.64, -52.5, 22.58
SL2SJ140650+522619, 0.94, 1.00, -26.8, 24.08
SL2SJ141137+565119, 0.93, 0.85, 62.4 , 24.53
SL2SJ141917+511729, 3.11, 0.64, 49.5 , 24.83
SL2SJ142003+523137, 1.79, 0.35, 65.6 , 24.70
SL2SJ142031+525822, 0.96, 0.99, -80.4, 22.45
SL2SJ142059+563007, 1.40, 0.67, -10.4, 25.17
SL2SJ142321+572243, 1.30, 0.32, 43.91, 31.72
SL2SJ142731+551645, 0.81, 0.49, -63.1, 24.73
SL2SJ220329+020518, 1.95, 0.45, -31.8, 24.95
SL2SJ220506+014703, 1.66, 0.74, 81.1 , 23.68
SL2SJ220629+005728, 1.55, 0.67, -28.9, 24.78
SL2SJ221326-000946, 1.07, 0.20, -41.5, 24.82
SL2SJ221407-180712, 1.06, 0.99, 57.0 , 25.01
SL2SJ221852+014038, 1.38, 0.40, -67.2, 25.54
SL2SJ221929-001743, 0.52, 0.83, 85.1 , 23.46
SL2SJ222012+010606, 2.16, 0.69, -26.1, 24.09
SL2SJ222148+011542, 1.40, 0.88, 77.7 , 24.48
SL2SJ222217+001202, 1.44, 0.82, 41.0 , 24.83
