Name;RAJ2000;DEJ2000;zL;zS;r_zS;Grade;Refs
HSC J001424+004145;003.6012;+00.6959; 0.5704;       ; ;B;1,9,11
HSC J012018+001125;020.0756;+00.1905; 0.5988;       ; ;B;9,10,11
HSC J014404-000746;026.0168;-00.1296; 0.5631;       ; ;A;1
HSC J021742-002206;034.4251;-00.3685; 0.6069;       ; ;A;
HSC J092800+044653;142.0036;+04.7815; 0.7392;       ; ;B;
HSC J093658+035845;144.2438;+03.9792; 0.5900;       ; ;B;
HSC J104223+001521;160.5974;+00.2559; 0.5484;       ; ;B;5
HSC J104259+025858;160.7459;+02.9830; 0.5413;       ; ;B;2
HSC J104545+024149;161.4409;+02.6971; 0.5685;       ; ;B;
HSC J104818+003434;162.0766;+00.5762; 0.5604;       ; ;B;
HSC J105227+022433;163.1130;+02.4094; 0.5086;       ; ;A;
HSC J111356+010404;168.4865;+01.0680; 0.6402;       ; ;B;
HSC J111420+015149;168.5852;+01.8639; 0.5112;       ; ;B;
HSC J115349+023128;178.4559;+02.5247; 0.7142;       ; ;B;
HSC J115851+042737;179.7126;+04.4604; 0.5476;       ; ;B;
HSC J120949+020908;182.4542;+02.1525; 0.7092;       ; ;B;
HSC J122856+023438;187.2369;+02.5772; 0.4950;       ; ;A;2
HSC J123616+021421;189.0668;+02.2394; 0.4497;       ; ;B;
HSC J123754+015902;189.4752;+01.9839; 0.6039; 2.3000;+;B;3
HSC J124125+042131;190.3549;+04.3589; 0.5027;       ; ;B;
HSC J125516+041553;193.8204;+04.2649; 0.6548;       ; ;B;
HSC J125852+040726;194.7185;+04.1241; 0.6046;       ; ;A;
HSC J125925-001053;194.8580;-00.1814; 0.6643;       ; ;B;
HSC J130004+014450;195.0202;+01.7473; 0.5341;       ; ;B;6
HSC J130848+024602;197.2003;+02.7675; 0.5550; 1.2551;d;B;4
HSC J131513+003445;198.8072;+00.5794; 0.5989;       ; ;B;2
HSC J131945+013151;199.9412;+01.5311; 0.6971;       ; ;B;7
HSC J133350+022145;203.4600;+02.3625; 0.5686;       ; ;B;2
HSC J133459+001617;203.7478;+00.2715; 0.4836;       ; ;B;2
HSC J135252+033532;208.2177;+03.5924; 0.6302;       ; ;A;
HSC J142822+031759;217.0936;+03.3000; 0.5885; 1.3072;s;B;7
HSC J150408+015744;226.0373;+01.9624; 0.5246;       ; ;B;
HSC J223212+031330;338.0507;+03.2252; 0.7042;       ; ;A;9,11
HSC J234114+031506;355.3116;+03.2518; 0.7268;       ; ;A;8
HSC J234117-002937;355.3230;-00.4939; 0.5314;       ; ;B;9,10,11
HSC J235853+012406;359.7217;+01.4018; 0.4805;       ; ;B;7,9,11

