Name;RAJ2000;DEJ2000;zL
HSC J000106+010329;000.2771;+01.0583; 0.7213
HSC J000158+043438;000.4928;+04.5774; 0.6753
HSC J000222+042125;000.5957;+04.3571; 0.7072
HSC J000449+041056;001.2048;+04.1824; 0.4934
HSC J000733+022624;001.8898;+02.4401; 0.4647
HSC J001144+010102;002.9359;+01.0175; 0.7936
HSC J001317+020931;003.3243;+02.1588; 0.5432
HSC J002037+002058;005.1575;+00.3497; 0.3288
HSC J002624+041825;006.6039;+04.3071; 0.7169
HSC J002652+030356;006.7171;+03.0656; 0.6469
HSC J003254+004839;008.2257;+00.8109; 0.6573
HSC J003632+014916;009.1363;+01.8213; 0.6477
HSC J003650+005316;009.2112;+00.8880; 0.6029
HSC J005356+015546;013.4848;+01.9296; 0.6891
HSC J005453+022522;013.7214;+02.4230; 0.5046
HSC J005630-001123;014.1279;-00.1900; 0.6811
HSC J005937+010731;014.9066;+01.1255; 0.6577
HSC J010021-004349;015.0899;-00.7303; 0.5548
HSC J010201+025404;015.5067;+02.9014; 0.5581
HSC J010434+035410;016.1452;+03.9030; 0.5438
HSC J012308+011027;020.7850;+01.1743; 0.6541
HSC J012411+025155;021.0477;+02.8654; 0.5084
HSC J013539+025615;023.9146;+02.9376; 0.5772
HSC J014101+032742;025.2573;+03.4617; 0.5218
HSC J020745+004721;031.9391;+00.7894; 0.5422
HSC J021214+002719;033.0617;+00.4553; 0.5372
HSC J021803-000254;034.5159;-00.0486; 0.3472
HSC J022027-004453;035.1139;-00.7481; 0.7743
HSC J022314-002558;035.8110;-00.4328; 0.5614
HSC J022624-001716;036.6001;-00.2879; 0.5540
HSC J023637+025729;039.1560;+02.9583; 0.6683
HSC J083759+050612;129.4976;+05.1035; 0.6284
HSC J083841+025720;129.6733;+02.9556; 0.5408
HSC J084306+051435;130.7774;+05.2431; 0.6232
HSC J084905+034329;132.2738;+03.7249; 0.4659
HSC J085247+045218;133.1982;+04.8718; 0.5458
HSC J093626+034716;144.1122;+03.7878; 0.6962
HSC J093844+015406;144.6855;+01.9019; 0.8345
HSC J101734-001227;154.3919;-00.2076; 0.8457
HSC J102041+002226;155.1714;+00.3739; 0.6143
HSC J102117+031442;155.3225;+03.2450; 0.6742
HSC J102311-000702;155.7989;-00.1174; 0.4735
HSC J102858-013141;157.2419;-01.5282; 0.5178
HSC J103430+042557;158.6265;+04.4326; 0.6546
HSC J103519+050108;158.8324;+05.0191; 0.6353
HSC J104146+021925;160.4429;+02.3238; 0.4850
HSC J104307+041425;160.7815;+04.2403; 0.5751
HSC J104358+022843;160.9950;+02.4789; 0.7851
HSC J104549-002713;161.4574;-00.4538; 0.5017
HSC J104727+024906;161.8667;+02.8184; 0.5699
HSC J104817+004336;162.0720;+00.7268; 0.5811
HSC J105202+001427;163.0107;+00.2409; 0.6272
HSC J105329+012255;163.3739;+01.3820; 0.7975
HSC J105338+045536;163.4101;+04.9267; 0.5050
HSC J105813+031136;164.5554;+03.1934; 0.4728
HSC J110028+024436;165.1200;+02.7436; 0.5228
HSC J110114+002016;165.3094;+00.3380; 0.6085
HSC J110155+032954;165.4827;+03.4985; 0.4440
HSC J110404-003703;166.0190;-00.6175; 0.5027
HSC J110511+042147;166.2978;+04.3632; 0.7176
HSC J110840-001927;167.1686;-00.3244; 0.4505
HSC J110905+005118;167.2712;+00.8551; 0.6368
HSC J111230+043153;168.1281;+04.5314; 0.4993
HSC J111618+033628;169.0772;+03.6079; 0.4661
HSC J111818+021102;169.5774;+02.1840; 0.5180
HSC J112203-014707;170.5144;-01.7854; 0.4525
HSC J112221-011759;170.5890;-01.3000; 0.7005
HSC J112710+025956;171.7928;+02.9991; 0.5387
HSC J113838+050110;174.6612;+05.0196; 0.6475
HSC J114358+022513;175.9927;+02.4205; 0.6342
HSC J114847+032706;177.1993;+03.4518; 0.6271
HSC J115247+034254;178.1973;+03.7152; 0.5721
HSC J115313+030814;178.3060;+03.1373; 0.5844
HSC J115446+042415;178.6934;+04.4042; 0.7196
HSC J115907+051911;179.7829;+05.3200; 0.4692
HSC J120233+042541;180.6395;+04.4281; 0.5077
HSC J120255+034044;180.7314;+03.6791; 0.5256
HSC J120745+041400;181.9380;+04.2334; 0.6194
HSC J121040+033354;182.6697;+03.5652; 0.7540
HSC J122843+023818;187.1824;+02.6385; 0.5260
HSC J122948+013652;187.4527;+01.6146; 0.6183
HSC J123035+052251;187.6474;+05.3810; 0.4701
HSC J124503+024354;191.2632;+02.7319; 0.4949
HSC J124629+004116;191.6211;+00.6880; 0.5730
HSC J125220+025504;193.0858;+02.9180; 0.5178
HSC J125604-003229;194.0177;-00.5415; 0.7249
HSC J125903+014542;194.7630;+01.7618; 0.5178
HSC J130044+031657;195.1864;+03.2826; 0.6798
HSC J130500+032545;196.2540;+03.4293; 0.5266
HSC J131037+021947;197.6551;+02.3300; 0.5056
HSC J131140+025539;197.9179;+02.9276; 0.6115
HSC J131417-010555;198.5711;-01.0989; 0.4833
HSC J131519+040008;198.8315;+04.0024; 0.7557
HSC J131604+040924;199.0194;+04.1569; 0.5786
HSC J131626+020910;199.1089;+02.1530; 0.6845
HSC J131759+025548;199.4975;+02.9302; 0.6018
HSC J131933-004256;199.8885;-00.7158; 0.6575
HSC J132221-012821;200.5878;-01.4727; 0.5423
HSC J132439-015026;201.1664;-01.8407; 0.4379
HSC J132904+020015;202.2679;+02.0044; 0.5195
HSC J133328+425215;203.3694;+42.8711; 0.5873
HSC J134017+420751;205.0742;+42.1311; 0.5370
HSC J134504-012202;206.2705;-01.3673; 0.5555
HSC J135110+443315;207.7926;+44.5544; 0.5650
HSC J135346+021338;208.4447;+02.2274; 0.4589
HSC J140218+022318;210.5786;+02.3884; 0.6941
HSC J140252+023101;210.7177;+02.5171; 0.6017
HSC J140347+425700;210.9459;+42.9503; 0.3946
HSC J141628+030004;214.1204;+03.0013; 0.4899
HSC J141758+022347;214.4942;+02.3965; 0.5219
HSC J142240+441140;215.6670;+44.1946; 0.5859
HSC J142532+032850;216.3843;+03.4806; 0.5294
HSC J142615+033050;216.5661;+03.5139; 0.5237
HSC J142652+433113;216.7175;+43.5204; 0.5770
HSC J142820+031902;217.0869;+03.3175; 0.5933
HSC J143018+034441;217.5776;+03.7448; 0.6769
HSC J144411+030655;221.0478;+03.1153; 0.7677
HSC J144530+434129;221.3752;+43.6915; 0.5332
HSC J145130+042054;222.8785;+04.3484; 0.7004
HSC J220958+013722;332.4942;+01.6230; 0.6250
HSC J221655+035733;334.2325;+03.9594; 0.5469
HSC J222653+035502;336.7215;+03.9173; 0.6978
HSC J222951-012440;337.4645;-01.4111; 0.7065
HSC J223315+041108;338.3137;+04.1858; 0.6318
HSC J223513+034313;338.8063;+03.7204; 0.6316
HSC J224101+041820;340.2567;+04.3056; 0.5916
HSC J231207+043501;348.0295;+04.5839; 0.5597
HSC J231740+040317;349.4181;+04.0548; 0.5851
HSC J232546-003916;351.4424;-00.6547; 0.6010
HSC J232833+024214;352.1385;+02.7040; 0.4926
HSC J233219+022838;353.0827;+02.4772; 0.6517
HSC J233917+010908;354.8243;+01.1523; 0.6262
HSC J233945+015726;354.9379;+01.9575; 0.5046
HSC J234246+044345;355.6932;+04.7292; 0.4915
HSC J234824+025357;357.1015;+02.8993; 0.5498
HSC J235052+035356;357.7167;+03.8990; 0.5145
HSC J235503+014443;358.7653;+01.7453; 0.5224
HSC J235730+010133;359.3776;+01.0260; 0.6379

